startTime,endTime,energy
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,9.098964267483613
28,28,30.698160540556824
29,29,64.68396301203197
30,30,107.70899104858667
31,31,150.84065959263273
32,32,229.24103154949822
33,33,361.7361254202021
34,34,530.9595191079188
35,35,729.9447015131526
36,36,947.0736929998396
37,37,1169.33909605021
38,38,1385.358396241676
39,39,1590.7355895879855
40,40,1784.8454419573832
41,41,1998.0590647728368
42,42,2211.9002475914526
43,43,2373.21029664241
44,44,2474.4691416704663
45,45,2389.524407078506
46,46,2182.245474056138
47,47,2052.3493547150747
48,48,2023.700015313648
49,49,2289.7857319671693
50,50,2745.5171988337283
51,51,3099.2283832586963
52,52,3344.7538276297664
53,53,3380.908105362843
54,54,3269.224757554016
55,55,3170.9902850444114
56,56,3087.704383442439
57,57,3031.4173145848636
58,58,2993.8720018037166
59,59,2954.8165037799013
60,60,2913.149235893112
61,61,2886.208171679458
62,62,2858.408137357391
63,63,2797.131238423408
64,64,2704.5715673729424
65,65,2572.5486684993916
66,66,2413.612363652413
67,67,2249.8195706529123
68,68,2081.2633529857826
69,69,1918.4217662973217
70,70,1752.86526780477
71,71,1567.6950672450994
72,72,1367.0953839272822
73,73,1156.1156801357884
74,74,938.4769645223914
75,75,719.406115428744
76,76,507.8797766767466
77,77,363.58792716427695
78,78,304.58189915578004
79,79,268.7004975640739
80,80,230.79002434154776
81,81,183.3329740312605
82,82,131.2955723776804
83,83,87.1857001515239
84,84,51.05883333782315
85,85,26.79962880609274
86,86,11.888574093070773
87,87,2.587682109800892
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
